Article,Incident Name,Shooter Race,Title
"WALLKILL, N.Y.— The body of a 16-year-old high school cheerleader has been found in a wooded area in this Orange County town, officials said.

She was apparently strangled, the state police said.

A state trooper found the body of the cheerleader, Paula Perrera, a junior at Valley Central High School in Montgomery, on Thursday. A coroner said Miss Perrera, who was last seen more than two weeks ago, had been dead for more than a week.",Valley High School,White,"Cheerleader, 16, Is Found Slain"
"LAS VEGAS, Nev., March 19— A 55-year-old teacher was shot to death today and two students were wounded by a high school senior who was later wounded by the police, the authorities said.

Clarence Piggott, a psychology and sociology teacher, was shot in the heart shortly before classes began at 8 A.M. at Valley High School, a school district spokesman said. Mr. Piggott died later at Sunrise Hospital.

Two students who were shot as the suspect fled the school were reported in stable condition. They were identified as Martin Jameson, 17, a junior, shot in the abdomen, and Jose Garcia, 17, a senior, shot in the chest.

The police identified the suspect as Pat Lizotte, 17, who was reported in stable condition after surgery. Officers said that Mr. Lizotte had walked into Mr. Piggott's classroom, called out his name, shot him once and fled outside, where he shot the two students. Officers Open Fire

The school's vice principal, Bob Sternod, said he chased the assailant about five blocks before the police pulled up and ordered the suspect to halt. The police said the youth pulled a .22-caliber pistol and officers opened fire, hitting him in the chest.

Ray Willis, a spokesman for the Clark County School District, said that no motive had been established for the slaying and that he did not know why the two students had been shot other than that ''they just got in the way.''

A student in a classroom adjoining Mr. Piggott's at the 2,450-student school said a friend who was in the classroom saw the shooting.

''She saw him pull the gun out,'' said Jill Arnold, 17. ''Mr. Piggott just looked at him. He fired the gun and the students laughed, thinking it was some kind of joke.''

The student said she walked into the room to find Mr. Piggott bent down on his knees with another student holding his hand and rubbing his head. She said another student pulled his sweater back and there was a big blood stain on his chest.

''He never said a word,'' she said. ''I grabbed his hand, he squeezed mine real hard, then let go.''

Illustrations: photo of Paramedics treating Pat Lizotte, shooting suspect",Valley High School,White,STUDENT A SUSPECT IN TEACHER SLAYING
"MIAMI, Aug. 20— A man described by neighbors as ''quiet and eccentric'' entered a Miami machine shop today, killed eight persons and wounded three with a shotgun, the police said.

Witnesses said the gunman, identified as Carl Brown, 51 years old, then calmly left the scene on a bicycle. Six blocks away he was run down and killed by a car carrying men who had chased him from the scene, the police said.

The police said that Mr. Brown had apparently visited the machine shop, Bob Moore's Welding and Machine Service Inc. in the industrial northwest section of Miami, on Thursday. The police said Mr. Brown had expressed his displeasure over a bill for work done on a small lawnmower engine and had ''made threatening remarks.''

Mr. Brown returned to the shop today just after 11 A.M., loaded a 12-gauge shotgun and, according to the police account, started shooting people in the shop and in the shop's office.

''He came in and just went nuts,'' said Ken Christopher, a police spokesman. Paused to Reload

Witnesses said the gunman first killed six employees in the shop, pausing at least once to reload, and then shot five other people who were either nearby or outside. Of the five victims, two died instantly. The remaining three were wounded.

The victims were identified by the police as Ernestine Moore, 67, the mother of the shop's owner; Magnum Moore, 78, the owner's uncle; Loni Jeffries, 53; Carl Lee, 47; Martha Steelman, 29; Juan Tres Palacios, 38; Pedro Vasques, 43, and Nelson Barrios, 46. All were employees of the shop.

The wounded were identified as Carlos Vazquez Sr., 42; his son, Carlos Jr., 17, and Eduardo Lima, 30. Carlos Vazquez Sr. was discharged from Hialeah Hospital this evening, while the two others were reported in stable condition tonight.

Mr. Brown's neighbors in the lower-middle-class neighborhood in Hialeah expressed shock at the news. They said Mr. Brownwas separated from his wife and child and had lost a job as an accounting instructor at Miami-Dade Community College. They described him as a ''quiet and eccentric man'' who generally kept to himself. 'Going for a Stroll'

One of the few surviving witnesses to the shootings was Steve Sarnoff, a co-owner of General Metals, a company across North River Drive from the machine shop.

''My partner and I were in the office and we heard the shooting start,'' he said. ''He came out and reloaded and did some more shooting, then he came out and reloaded again.''

Mr. Sarnoff said that after the shootings, Mr. Brown, still carrying the shotgun, walked calmly from the shop and rode off leisurely on the bicycle. ''He got on his bike and pedaled off as if he was going for a stroll on North River Drive,'' Mr. Sarnoff said.

Ernest Hammett, an employee at General Metals, said he ran a block and a half trying to flag down a car to give chase. He stopped a Lincoln Continental driven by Mark Kram, the owner of a nearby business, and the two set off in pursuit.

Mr. Hammett said that when it appeared that Mr. Brown was going to aim his shotgun at the car, Mr. Kram steered the car into the bicycle. The impact knocked Mr. Brown into a utility pole and the car ran over his body.

Illustrations: photo of the body of Carl Brown",Miami Welding Shop,White,GUNMAN IN MIAMI KILLS 8 IN RAMPAGE
"MIAMI, Aug. 21— Carl R. Brown, the 51-year-old suspended teacher who killed eight persons here Friday, bought the weapon he used hours earlier, the police said today.

They said Mr. Brown went to a gun shop a block from his house and bought a Mossberg 500, a shotgun with a 20-inch barrel capable of firing eight shots by pump action.

It is called ''Persuader'' by its manufacturer.

Mr. Brown also bought another shotgun, a carbine and ammunition, according to officers who found a receipt from the gun shop for $900 in his pocket. Mr. Brown was killed shortly after he left a machine shop where, the authorities said, he shot and killed people because he was angered over a bill for welding work done by the shop.

It was believed on Friday that Mr. Brown had died of injuries as a result of being struck by an automobile. The driver, Mark Kram, who worked near the shop where the killings occurred, pursued Mr. Brown, who was riding a bicycle, and rammed him against a cement pole.

Later, detectives discovered a bullet wound in Mr. Brown's back and an autopsy early today confirmed that that wound was the cause of the gunman's death. Mr. Kram, who has not been charged in connection with Mr. Brown's death, said today that he fired at the cyclist from his car when he saw that Mr. Brown was about to aim at the car. ''I'm almost sure I shot over his head,'' Mr. Kram said. ''It was a warning shot.''",Miami Welding Shop,White,Police Say Killer of 8 Had Just Purchased Gun
"MIAMI, Aug. 23— Prosecutors said today they would not file criminal charges against a motorist who pursued and killed Carl R. Brown just minutes after Mr. Brown killed eight people and wounded three others in a shooting spree at a welding shop.

Dade State Attorney Janet Reno said that after reviewing police reports, she had decided against bringing charges against the motorist, Mark Kram, because he used ''justifiable force'' in shooting Mr. Brown and running him down with his car after the crime last Friday.

''The facts of the law, particularly the law that deals with justifiable use of force, indicates that charges should not be filed,'' she said. She added that Mr. Kram was within his legal rights to use deadly force because he believed it was necessary to prevent imminent death or great bodily harm to himself or someone else.

Mr. Brown, 51 years old, a teacher who had a history of psychiatric problems, rode his bicycle to Bob Moore's Welding Shop near Miami International Airport Friday and killed eight employees and wounded three with a 12-gauge shotgun he purchased hours before. He was reportedly enraged at a $20 fee the shop had charged him for a welding job. More Shootings Feared

Mr. Brown rode away on his bicycle but was pursued by Mr. Kram, who was at his metal recycling shop, not far from Bob Moore's Welding Shop, when he was told of the shootings. He grabbed two guns, jumped into his car to follow Mr. Brown and fired what he said was a warning shot, which struck Mr. Brown in the back. Mr. Kram then drove his automobile into Mr. Brown, knocking him into a light pole.

The police said Mr. Brown, carrying his shotgun and 20 shells as he pedaled away from the welding shop, may have been heading for a junior high school where he once worked, to continue the shooting spree. They said Mr. Kram may have helped prevent more killings.

The welding shop remained closed today, although a few people lined up to apply for the jobs once held by the victims, all employees of the welding shop. Johnny Battle, a welder who has been unemployed for two years and who helped clean up Friday after the shooting spree, was one of them.

''Somebody's going to get one of those jobs,'' he said. ''It might as well be me.''",Miami Welding Shop,White,NO CHARGES PLANNED AGAINST MIAMI MAN WHO SHOT GUNMAN
"International Hindu tribesmen killed 600 people in an eight-hour attack on Moslem settlements in a rural area of Assam, a state in northeastern India, according to a senior state official. Witnesses said that the Moslem settlements were attacked by thousands of tribal people armed with homemade guns, machetes and spears. The figures, if confirmed, would bring the number of dead in three weeks of sectarian and ethnic violence in the state to about 1,000. (Page A1, Column 6.) Ariel Sharon will remain on two important Government bodies, the steering committee for the negotiations with Lebanon and the larger of the two ministerial panels on defense. The decision by the Israeli Cabinet, made at Prime Minister Menachem Begin's request, appeared to mean that Mr. Sharon, the former Defense Minister, would continue to have a major role in shaping Israel's positions in the talks with Lebanon, officials said. (A1:4.)

A moderate P.L.O. official resigned after Yasir Arafat, chairman of the Palestine Liberation Organization, prevented him from addressing a meeting of the Palestine National Council in Algeria. The official, Dr. Issam Sertawi, had been expected to call for an expanded dialogue between the P.L.O. and Israelis, as well as for a clear-cut P.L.O. acceptance of the ''two-state solution'' - a Palestinian state in the West Bank side by side with Israel. (A7:1.) Libya's apparent threat to the Sudan has ''receded,'' Secretary of State George P. Shultz said. Another State Department official said that unless there was a sudden outbreak of violence the four Air Force planes that were been sent to Egypt by President Reagan last week when the threat seemed a possibility would be withdrawn. (A1:5.) Fear of an OPEC price war that could break up the organization brought about urgent consultations between Saudi Arabia and other OPEC members after Nigeria, another OPEC member, lowered its price Saturday by $5.50 a barrel, to $30. (A1:5.) An agricultural trade war is threatened among leading industrialized nations as they compete for a share of world food markets to compensate for a decline in industrial exports. One of many Government officials concerned about the possibility of all-out farmtrade war is Secretary of State George P. Shultz, who told the Senate Foreign Relations Committee that such an outbreak would have a ''devastating impact'' on the world economic order. (A1:2.) Supporters of Joshua Nkomo, opposition leader in Zimbabwe, gathered by the thousands outside his home in Bulawayo after his eight-hour detention by the police, who prevented him from boarding a plane for a trip to Czechoslovakia Saturday and confiscated his passport. He was to attend a meeting of the Soviet-sponsored World Peace Council. (A3:4.) National Medicare's financial problems have worsened since the withdrawal of $12.4 billion from the Medicare trust fund to rescue Social Security's old-age benefits trust fund. The Congressional Budget Office estimates that the Medicare trust fund will be depleted by 1987 or 88. Medicare's annual report, to be issued in April, shows that it will be depleted by 1989 or sooner if the Social Security System fails to pay interest on the money it has borrowed. (A1:1.) The Justice Department was asked by the Administrator of the Environmental Protection Agency to determine whether a former agency official acted improperly at the time of Government negotiations on cleaning up a hazardous waste site, high E.P.A. officials said. They said the Administrator, Anne Gorsuch Burford, believed the actions by the official, Rita M. Lavelle, might have violated Federal law. Miss Lavelle was recently dismissed from the agency by President Reagan. (A1:2.) The 13 people shot dead at a gambling club in Seattle's Chinatown Friday came from throughout Chinese society in the Seattle area. Twelve men and a woman were tied, robbed and shot at the Wah Mee club, a fixture of Seattle's International District for 50 years, a survivor of many that had flourished in the region. (A12:2.) Further isolation of small towns is feared by their residents as a result of a new Federal law that has given intercity bus lines sweeping authority to abandon routes they no longer want to operate. A typical town being affected by the Bus Regulatory Reform Act of 1982 is Kerman, Calif. (B7:1.) Metropolitan An affirmative-action program in New York State was promised by Governor Cuomo in a speech in Albany at the 12th annual meeting of the Legislature's Black and Puerto Rican Caucus. He said the program would ''develop annual goals for minority employment in every department of state government.'' He also announced his nomination of three blacks and five persons of Hispanic origin to ranking administrative posts. (A1:1.) New York-Connecticut talks about what to do about the Connecticut 17 1/2-cent turnpike tokens that fit city subway turnstiles were approaching agreement when they hit a snag. The turnpike tokens were to be sent back to the mint to be made thicker, but New York balked when Connecticut requested that the city promise not to change its tokens for ''the foreseeable future.'' (B1:6.)

Business Digest, Page Page D1",Wah Mee Gambling Club,Asian,"MONDAY, FEBRUARY 21, 1983"
"SEATTLE, Feb. 20— The Wah Mee gambling club, where 13 people were tied, robbed and shot dead Friday night, has been a fixture of Seattle's International District for half a century.

Chinese gambling clubs have existed in Portland, Seattle and San Francisco since the first Chinese immigrants arrived in the 19th century. They were as much a part of the Chinatown scene as the 100-pound sacks of rice and trays of ginger in store windows.

Wah Mee's situation in a shabby alley and behind steel-reinforced, guarded doors is typical of similar places here and in other Coast cities.

Gambling clubs have begun to disappear as social changes have caused longtime residents of Chinatown to move their homes to locations they found more desirable, even if business interests tied them still to Chinatown. As they moved, they have been replaced with newer Asian immigrants, some of them Chinese. Asian Population Grows

In 1940, census figures showed 1,178 people of Chinese ancestry in Seattle and 6,975 Japanese. By 1960 there were 4,076 Chinese and 9,351 Japanese. In 1980, there were 9,916 Chinese, 9,762 Japanese, 9,510 Filipinos, and 2,199 Koreans here. The numbers for Vietnamese and Cambodians were not avaiable, but there are substantial communities of each group here.

The gambling clubs were born in the days when Chinese lotteries, illegal as they were, were a fixture of all the Pacific Coast Chinatowns. These disappeared decades ago, and now the State of Washington runs a lottery of its own, established to help meet a state deficit.

The illegal gambling places have operated through the decades with law-enforcement authorities either finding it too much trouble to try to suppress the games or unable to get into those places legally because of the strict screening practices the operators use when enforcement pressure is stepped up.

As the list of dead at Wah Mee showed, customers come from throughout Chinese society here. There were Moo Min Mar, 52 years old, and his wife, Jean, 47, both immigrants a quarter-century ago, who operated a restaurant in Redmond, Wash. There was Henning Chinn, 52, who lived worked at Wah Mee and lived nearby at 2 Canton Alley. Hung Fat Gee, 50, was a restaurant cook, as was Gim Lun Wong. Neighborhood Has Changed

But while the Wah Mee Club and the nearby Chinese groceries have operated recently much as they did 30 or 50 years ago, the district around them has changed radically.

''Years ago the Japanese lived east of Jackson Street,'' said Patrolman Ed Burkhart, who has walked a beat in the International District for years. ''They moved out a long time ago and now Vietnamese and Cambodians and other new people live there. Some Chinese live east of Jackson these days, too. The old boundaries are all gone.''

The grocery stores seem to be one of the reasons the district still survives as a Chinatown. Oriental women from all around Seattle moved through these stores Saturday buying bean sprouts, Chinese cabbage, canned goods with Chinese labels, and bean curd for meals they would prepare at home.

Around the corner and down the alley was the Wah Mee Club, its outer doors sealed by a chain and padlock the police left when they carried away the bodies. The shoppers ignored it. Suspects Are Immigrants

The changes in Chinatown and the immigration of new Chinese are a part of the story of what was probably the last night that the venerable Wah Mee club would operate: The police have arrested as their prime suspects two young Chinese men who, newspapers here say, came from Hong Kong. The suspects are immigrants, the police say, but they say they do not know what country the immigrants came from.

The police identified them as Benjamin Ng, 20, and Kwan Fai Mak, 22, neither of whom are residents of the International District. They have been held for investigation. Mary K. Barbieri, a King County prosecutor, said criminal charges of some nature would be lodged against the two by Tuesday.

They were arrested within hours of a police interview with Wai Chinn, about 60, an employe of the Wah Mee. Mr. Chinn was shot in the head and left for dead, but managed to wriggle free of the nylon line around his ankles and wrists, make his way out the doors into the alley and call for help. The police would not reveal what he told them.

For Patrolman Burkhart, his beat had been a relatively crime-free neighborhood. ''We don't have much trouble in Chinatown,'' he said. ''A few nickel-and-dime prostitutes. That's about it.''

Illustrations: photo of Seattle photo of reletives of victims",Wah Mee Gambling Club,Asian,CLUB WHERE 13 WERE SLAIN IS LIKE MANY IN COAST CHINATOWNS
"SEATTLE, Feb. 19— Twelve men and a woman were shot dead Friday night in a Chinatown gambling club, apparently in a robbery attempt, the police said today.

The violence at the Wah Mee Club was the largest mass killing in the modern history of the Pacific Northwest. Eleven bodies were found tied hand and foot with nylon cord, and a man's unbound body was found in the office of club, which has operated since the 1940's. One of the victims inside was still alive, but died at Harborview Medical Center.

Two men were in police custody for investigation and a third was questioned, but none have been charged. The men being held were Benjamin Ng, 20 years old, and Kwan Fai Mack, 19. Mr. Ng was arrested at his home, and Mr. Mack called the police and surrendered. The third man was questioned because he was with Mr. Mack when he surrendered.

''We believe that it is robbery,'' Police Maj. Dale Douglass said, adding ''I don't believe it was nickel and dime.'' He said that two search warrants were executed and that ''a good deal of evidence was recovered.'' ''From my knowledge of those places, they had to be admitted by someone who knew them,'' Major Douglass said of the gambling clubs that have flourished here for years despite their illegality.

''This is a unique and horrible incident,'' Police Chief Patrick Fitzsimons said of the carnage. ''I have seen nothing like it before. A case like this is shocking.''

The medical examiner's office listed the names of nine of the victims, all of whom were Seattle residents of Chinese ancestry. They were John Loui, no age given; Chong L. Chinn, no age; Wing Wong, 59; Moo Min Mar, 52; Jean Mar, 47; Henning Chinn, 52; Dewey Mar, no age; Gim Lun Wong, no age, and Hung Fat Gee, about 50. Four unidentified Chinese men, ranging in age from the 30's to the 70's, were also killed. Some Victims Shot Twice

''Some were shot once, some twice,'' Dr. Harry Bonnell, assistant medical examiner for King County, said of the victims, all of whom were shot in the head.

The bodies were found soon after midnight. A passer-by, whose name was not disclosed, called the police at 12:44 A.M. to report finding a greviously wounded man staggering in Maynard Alley South, the littered, cluttered passageway that gives access to the club's door.

The police said the club door had a lock that automatically engaged and could only be opened from the inside, where an attendant in a cage was always on duty. After the wounded man had pushed himself out, the door locked behind him. Door Broken Down

The police broke down the door and found the bodies. There was no indication of a struggle, Captain Mike Slessman said. But dominoes were scattered around the room. He said this indicated that the victims had been playing Paykyo, a gambling game favored by many Orientals here.

Only people of Chinese ancestry were allowed in the club and had to be recognized to gain entry, said Captain Slessman, indicating that the victims may have known their assailants. The door attendant was one of those bound and killed, the authorities said.

Captain Slessman said it appeared that more than one handgun was used in what he said appeared to be a methodical series of killings. The wounded victim was still alive today. He had been interviewed by the police, and was under heavy police guard. 'He Is Our Best Lead'

''He is our best lead,'' said Gary Flynn, a Police Department spokesman. Captain Slessman said it appeared that more than one handgun was used in what he said appeared to be a methodical series of killings. There were no billfolds or other means of rapid identification on any of the bodies. The gambling clubs are a longtime problem, according to Mr. Fitzsimons, the Chief. ''Their history is well known and they've been in operation for over 25 years so there are chronic problems that we deal with as well as we can when the law allows,'' he said. ''We follow very strictly the law, and if we have opportunity to take legal enforcement action we do it. But we always have to have the evidence or the probable cause we need to get search warrants.''

Mr. Flynn said the club was last raided by the police in 1972. A Narrow Passage

The Wah Mee Club is on Maynard Alley South, a narrow passage it shares with a tropical fish and bird importing company that was open today.

The back doors of Chinese stores and restaurants open on Maynard Alley, and their front doors on more pleasant streets. The alley is littered with cardboard boxes, which were disintegrating in the rain today, and wooden cases.

The King Dome, the sports arena, and King County Court, the Seattle police headquarters, and many Oriental restaurants and businesses are nearby. The area is known here as the International District. Once Chinese were its exclusive residents, but in recent years new immigrants of Oriental extraction have settled in the district.

Entrance to the gambling clubs is through double doors, which were secured today with chain and a police padlock. To the right of the door is the attendant's cage where visitors could be scrutinized before they were admitted. Incidents in Chinatowns

The slayings were the latest of several violent incidents that have occurred in the country's Chinatown communities in recent years. In New York City, last Dec. 23 masked gunmen burst into a Chinatown restaurant, reputed to be a gang hangout, and fired wildly into the crowd of customers, killing three people and injuring eight others. The authorities said it was the worst outbreak of gang violence in New York's Chinatown in recent years.

In 1977 a popular restaurant in San Francisco's Chinatown, the Golden Dragon, was the scene of a sudden and brutal attack. Three men wearing ski masks walked into the restaurant shortly before closing time and fired, seemingly indiscriminately, at about 75 latenight diners, killing five people and wounding 11 others.

Illustrations: photo of a body being removed from the private club in Seattle",Wah Mee Gambling Club,Asian,13 SLAIN AT CLUB IN SEATTLE'S CHINATOWN
NaN,"Johnston, SC Post Office",,NaN
NaN,"Johnston, SC Post Office",,NaN
